AD,ED,County,Candidate,Tally
23,073,Queens,Zohran Kwame Mamdani,0
23,074,Queens,Andrew M. Cuomo,0
23,074,Queens,Curtis A. Sliwa,0
23,074,Queens,Eric L. Adams,0
23,074,Queens,Irene Estrada,0
23,074,Queens,Jim Walden,0
23,074,Queens,Joseph Hernandez,0
23,074,Queens,Zohran Kwame Mamdani,0
24,001,Queens,Andrew M. Cuomo,43
24,001,Queens,Curtis A. Sliwa,16
24,001,Queens,Eric L. Adams,0
24,001,Queens,Irene Estrada,0
24,001,Queens,Jim Walden,1
24,001,Queens,Joseph Hernandez,0
24,001,Queens,Zohran Kwame Mamdani,98
24,002,Queens,Andrew M. Cuomo,92
24,002,Queens,Curtis A. Sliwa,16
24,002,Queens,Eric L. Adams,0
24,002,Queens,Irene Estrada,0
24,002,Queens,Jim Walden,0
24,002,Queens,Joseph Hernandez,1
24,002,Queens,Zohran Kwame Mamdani,118
24,003,Queens,Andrew M. Cuomo,156
24,003,Queens,Curtis A. Sliwa,45
24,003,Queens,Eric L. Adams,0
24,003,Queens,Irene Estrada,5
24,003,Queens,Jim Walden,0
24,003,Queens,Joseph Hernandez,2
24,003,Queens,Zohran Kwame Mamdani,301
24,004,Queens,Andrew M. Cuomo,116
24,004,Queens,Curtis A. Sliwa,33
24,004,Queens,Eric L. Adams,1
24,004,Queens,Irene Estrada,0
24,004,Queens,Jim Walden,0
24,004,Queens,Joseph Hernandez,0
24,004,Queens,Zohran Kwame Mamdani,224
24,005,Queens,Andrew M. Cuomo,137
24,005,Queens,Curtis A. Sliwa,19
24,005,Queens,Eric L. Adams,2
24,005,Queens,Irene Estrada,0
24,005,Queens,Jim Walden,0
24,005,Queens,Joseph Hernandez,0
24,005,Queens,Zohran Kwame Mamdani,176
24,006,Queens,Andrew M. Cuomo,158
24,006,Queens,Curtis A. Sliwa,44
24,006,Queens,Eric L. Adams,1
24,006,Queens,Irene Estrada,2
24,006,Queens,Jim Walden,0
24,006,Queens,Joseph Hernandez,0
24,006,Queens,Zohran Kwame Mamdani,273
24,007,Queens,Andrew M. Cuomo,111
24,007,Queens,Curtis A. Sliwa,39
24,007,Queens,Eric L. Adams,2
24,007,Queens,Irene Estrada,0
24,007,Queens,Jim Walden,0
24,007,Queens,Joseph Hernandez,0
24,007,Queens,Zohran Kwame Mamdani,203
24,008,Queens,Andrew M. Cuomo,152
24,008,Queens,Curtis A. Sliwa,41
24,008,Queens,Eric L. Adams,1
24,008,Queens,Irene Estrada,0
24,008,Queens,Jim Walden,0
24,008,Queens,Joseph Hernandez,0
24,008,Queens,Zohran Kwame Mamdani,302
24,009,Queens,Andrew M. Cuomo,99
24,009,Queens,Curtis A. Sliwa,13
24,009,Queens,Eric L. Adams,0
24,009,Queens,Irene Estrada,0
24,009,Queens,Jim Walden,0
24,009,Queens,Joseph Hernandez,0
24,009,Queens,Zohran Kwame Mamdani,169
24,010,Queens,Andrew M. Cuomo,141
24,010,Queens,Curtis A. Sliwa,27
24,010,Queens,Eric L. Adams,2
24,010,Queens,Irene Estrada,0
24,010,Queens,Jim Walden,1
24,010,Queens,Joseph Hernandez,0
24,010,Queens,Zohran Kwame Mamdani,247
24,011,Queens,Andrew M. Cuomo,121
24,011,Queens,Curtis A. Sliwa,21
24,011,Queens,Eric L. Adams,1
24,011,Queens,Irene Estrada,0
24,011,Queens,Jim Walden,1
24,011,Queens,Joseph Hernandez,0
24,011,Queens,Zohran Kwame Mamdani,218
24,012,Queens,Andrew M. Cuomo,95
24,012,Queens,Curtis A. Sliwa,19
24,012,Queens,Eric L. Adams,1
24,012,Queens,Irene Estrada,1
24,012,Queens,Jim Walden,0
24,012,Queens,Joseph Hernandez,0
24,012,Queens,Zohran Kwame Mamdani,236
24,013,Queens,Andrew M. Cuomo,161
24,013,Queens,Curtis A. Sliwa,26
24,013,Queens,Eric L. Adams,1
24,013,Queens,Irene Estrada,2
24,013,Queens,Jim Walden,0
24,013,Queens,Joseph Hernandez,0
24,013,Queens,Zohran Kwame Mamdani,300
24,014,Queens,Andrew M. Cuomo,163
24,014,Queens,Curtis A. Sliwa,49
24,014,Queens,Eric L. Adams,1
24,014,Queens,Irene Estrada,1
24,014,Queens,Jim Walden,0
24,014,Queens,Joseph Hernandez,0
24,014,Queens,Zohran Kwame Mamdani,260
24,015,Queens,Andrew M. Cuomo,152
24,015,Queens,Curtis A. Sliwa,29
24,015,Queens,Eric L. Adams,0
24,015,Queens,Irene Estrada,1
24,015,Queens,Jim Walden,0
24,015,Queens,Joseph Hernandez,0
24,015,Queens,Zohran Kwame Mamdani,242
24,016,Queens,Andrew M. Cuomo,87
24,016,Queens,Curtis A. Sliwa,16
24,016,Queens,Eric L. Adams,1
24,016,Queens,Irene Estrada,0
24,016,Queens,Jim Walden,0
24,016,Queens,Joseph Hernandez,0
24,016,Queens,Zohran Kwame Mamdani,131
24,017,Queens,Andrew M. Cuomo,20
24,017,Queens,Curtis A. Sliwa,2
24,017,Queens,Eric L. Adams,1
24,017,Queens,Irene Estrada,0
24,017,Queens,Jim Walden,0
24,017,Queens,Joseph Hernandez,0
24,017,Queens,Zohran Kwame Mamdani,88
24,018,Queens,Andrew M. Cuomo,88
24,018,Queens,Curtis A. Sliwa,38
24,018,Queens,Eric L. Adams,2
24,018,Queens,Irene Estrada,0
24,018,Queens,Jim Walden,0
24,018,Queens,Joseph Hernandez,0
24,018,Queens,Zohran Kwame Mamdani,173
24,019,Queens,Andrew M. Cuomo,133
24,019,Queens,Curtis A. Sliwa,41
24,019,Queens,Eric L. Adams,1
24,019,Queens,Irene Estrada,1
24,019,Queens,Jim Walden,0
24,019,Queens,Joseph Hernandez,0
24,019,Queens,Zohran Kwame Mamdani,268
24,020,Queens,Andrew M. Cuomo,57
24,020,Queens,Curtis A. Sliwa,5
24,020,Queens,Eric L. Adams,0
24,020,Queens,Irene Estrada,1
24,020,Queens,Jim Walden,0
24,020,Queens,Joseph Hernandez,0
24,020,Queens,Zohran Kwame Mamdani,70
24,021,Queens,Andrew M. Cuomo,203
24,021,Queens,Curtis A. Sliwa,53
24,021,Queens,Eric L. Adams,2
24,021,Queens,Irene Estrada,1
24,021,Queens,Jim Walden,0
24,021,Queens,Joseph Hernandez,0
24,021,Queens,Zohran Kwame Mamdani,151
24,022,Queens,Andrew M. Cuomo,48
24,022,Queens,Curtis A. Sliwa,10
24,022,Queens,Eric L. Adams,0
24,022,Queens,Irene Estrada,0
24,022,Queens,Jim Walden,0
24,022,Queens,Joseph Hernandez,0
24,022,Queens,Zohran Kwame Mamdani,19
24,023,Queens,Andrew M. Cuomo,114
24,023,Queens,Curtis A. Sliwa,15
24,023,Queens,Eric L. Adams,0
24,023,Queens,Irene Estrada,0
24,023,Queens,Jim Walden,0
24,023,Queens,Joseph Hernandez,1
24,023,Queens,Zohran Kwame Mamdani,168
24,024,Queens,Andrew M. Cuomo,207
