ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION,MEDIA_TYPE
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6416,Print Ad Full Page Queens 6/20,2025-06-20,PRINT,Print Ad,3515,2993,"Cuomo, Andrew M",1,,3515.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6029,Print Ad Full Page Schneps,2025-06-12,PRINT,Print Ad,2458,2993,"Cuomo, Andrew M",1,,2458.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6100,Print Ad Full Page Spanish El Diario,2025-06-14,PRINT,Print Ad,13080,2993,"Cuomo, Andrew M",1,,13079.91,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6097,Print Ad Full Page Spanish Noticia,2025-06-13,PRINT,Print Ad,1495,2993,"Cuomo, Andrew M",1,,1495.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6409,Print Ad Full Page Spanish Noticia 6/20,2025-06-20,PRINT,Print Ad,1495,2993,"Cuomo, Andrew M",1,,1495.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6408,Print Ad Full Pg Bronx Times 6/20,2025-06-20,PRINT,Print Ad,1604,2993,"Cuomo, Andrew M",1,,1604.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6267,Print Ad Replacement Schneps,2025-06-16,PRINT,Print Ad,16720,2993,"Cuomo, Andrew M",1,,16720.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5915,Print Ad Straus Media,2025-06-12,PRINT,Print Ad,4150,2993,"Cuomo, Andrew M",1,,4150.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7402,Print Ads Schneps,2025-10-31,PRINT,Print Ad,46429,2993,"Cuomo, Andrew M",1,,46428.58,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6576,Radio,2025-06-22,RADIO,Audio > 30 seconds,100000,2993,"Cuomo, Andrew M",1,,100000.0,Support,audio
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,GD,7443,Radio Ad Restaurant,2025-11-01,RADIO,Audio > 30 seconds,30910,2993,"Cuomo, Andrew M",1,,30910.0,Support,audio
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,40,7056,Ready for the Job Youtube Video Ad,2025-10-06,INTVID,Video (Internet),10500,2899,"Mamdani, Zohran K",1,,10500.0,Oppose,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,36,6934,Rent Freeze_Media,2025-09-11,INTVID,Video (Internet),9358,2899,"Mamdani, Zohran K",1,,9358.0,Oppose,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5964,Risky Ad,2025-06-12,TVADS,Video (TV/Cable),5389604,2899,"Mamdani, Zohran K",1,,5389604.4,Oppose,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,40,7054,Safey Youtube Video Ad,2025-10-06,INTVID,Video (Internet),10500,2899,"Mamdani, Zohran K",1,,10500.0,Oppose,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6334,Schneps 6/19,2025-06-19,PRINT,Print Ad,55500,2993,"Cuomo, Andrew M",1,,55500.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6622,Schneps Digital 6/24,2025-06-24,INTAD,Internet - Display/Banner,3500,2993,"Cuomo, Andrew M",1,,3500.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,39,7001,Social Media (X Corp) 10/01,2025-10-01,INTAD,Internet - Display/Banner,640,2993,"Cuomo, Andrew M",1,,640.11,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,39,7007,Social Media (X Corp) 10/02/2025,2025-10-02,INTAD,Internet - Display/Banner,994,2993,"Cuomo, Andrew M",1,,993.8,Support,digital_display
